"ID","Label","type"
"周伯棣","周伯棣","author"
"周依维","周依维","author"
"周先庚","周先庚","author"
"周振甫","周振甫","author"
"周斧冰","周斧冰","author"
"周新民","周新民","author"
"周波","周波","author"
"周煦良","周煦良","author"
"周知","周知","author"
"唐庆增","唐庆增","author"
"唐弢","唐弢","author"
"唐言","唐言","author"
"坦宁保姆","坦宁保姆","author"
"夏炎德","夏炎德","author"
"夏衍","夏衍","author"
"夏迪蒙","夏迪蒙","author"
"外卢","外卢","author"
"大愿","大愿","author"
"大荒","大荒","author"
"天凡","天凡","author"
"天父","天父","author"
"天顽","天顽","author"
"夷初","夷初","author"
"奥凯","奥凯","author"
"奴齐","奴齐","author"
"姚苏凤","姚苏凤","author"
"姜庆湘","姜庆湘","author"
"姜鹏翊","姜鹏翊","author"
"娄立齐","娄立齐","author"
"子冈","子冈","author"
"子敬","子敬","author"
"存真","存真","author"
"孙亚夫","孙亚夫","author"
"孙起孟","孙起孟","author"
"孟心坚","孟心坚","author"
"孟昌","孟昌","author"
"安约吾","安约吾","author"
"安逸","安逸","author"
"宣谛之","宣谛之","author"
"宦乡","宦乡","author"
"宧乡","宧乡","author"
"寿生","寿生","author"
"尊立","尊立","author"
"小羽","小羽","author"
"少之","少之","author"
"尔咸","尔咸","author"
"尚丁","尚丁","author"
"尚钺","尚钺","author"
"尚铖","尚铖","author"
"尚青禾","尚青禾","author"
"左舜生","左舜生","author"
"巴尔契斯基","巴尔契斯基","author"
"巴金","巴金","author"
"师陀","师陀","author"
"庄圻泰","庄圻泰","author"
"庄永","庄永","author"
"张东皋","张东皋","author"
"张东荪","张东荪","author"
"张凤举","张凤举","author"
"张刚","张刚","author"
"张大任","张大任","author"
"张子毅","张子毅","author"
"张宏","张宏","author"
"张志让","张志让","author"
"张志龢","张志龢","author"
"张恨水","张恨水","author"
"张时俊","张时俊","author"
"张明养","张明养","author"
"张栋举","张栋举","author"
"张淦","张淦","author"
"张澜","张澜","author"
"张珏","张珏","author"
"张竞存","张竞存","author"
"张若达","张若达","author"
"张西曼","张西曼","author"
"张远昕","张远昕","author"
"张雪澄","张雪澄","author"
"张鸿增","张鸿增","author"
"彭松","彭松","author"
"徐修","徐修","author"
"徐如免","徐如免","author"
"徐撤","徐撤","author"
"徐系","徐系","author"
"徐调孚","徐调孚","author"
"徐郎","徐郎","author"
"徐铸成","徐铸成","author"
"戎戈","戎戈","author"
"戴寒波","戴寒波","author"
"房龙","房龙","author"
"托尔斯泰","托尔斯泰","author"
"抱贞","抱贞","author"
"拉铁摩尔","拉铁摩尔","author"
"振寰","振寰","author"
"敏之","敏之","author"
"文宜","文宜","author"
"斯诺","斯诺","author"
"新武","新武","author"
"方与严","方与严","author"
"方扬","方扬","author"
"方治平","方治平","author"
"方禺","方禺","author"
"施佑铭","施佑铭","author"
"施复亮","施复亮","author"
"明养","明养","author"
"明子","明子","author"
"易水","易水","author"
"春光","春光","author"
"晓敷","晓敷","author"
"晓歌","晓歌","author"
"晶远","晶远","author"
"曹介植","曹介植","author"
"曹樸","曹樸","author"
"曹萝阳","曹萝阳","author"
"曾昭抡","曾昭抡","author"
"曾瑞","曾瑞","author"
"月伶","月伶","author"
"朝华","朝华","author"
"木林","木林","author"
"朱健飞","朱健飞","author"
"朱彬元","朱彬元","author"
"朱洗","朱洗","author"
"朱自珍","朱自珍","author"
"李健吾","李健吾","author"
"李兆","李兆","author"
"李兆安","李兆安","author"
"李公朴","李公朴","author"
"李公樸","李公樸","author"
"李凌飞","李凌飞","author"
"李及","李及","author"
"李善卷","李善卷","author"
"李时中","李时中","author"
"李玄伯","李玄伯","author"
"李自强","李自强","author"
"杜迈之","杜迈之","author"
"来秋","来秋","author"
"杨佑贤","杨佑贤","author"
"杨作雨","杨作雨","author"
"杨刚","杨刚","author"
"杨动","杨动","author"
"杨卫玉","杨卫玉","author"
"杨学纯","杨学纯","author"
"杨宗亿","杨宗亿","author"
"杨愚","杨愚","author"
"杨穗","杨穗","author"
"杨荣国","杨荣国","author"
"杨蔚","杨蔚","author"
"杨霁云","杨霁云","author"
"林松","林松","author"
"林汉达","林汉达","author"
"林焕平","林焕平","author"
"林谷","林谷","author"
"林陵蓉","林陵蓉","author"
"柏寒","柏寒","author"
"柏有仁","柏有仁","author"
"柯灵","柯灵","author"
"柳蕴","柳蕴","author"
"树鹃","树鹃","author"
"桑弧","桑弧","author"
"梁漱溟","梁漱溟","author"
"梁纯夫","梁纯夫","author"
"梅兰芳","梅兰芳","author"
"梅湜","梅湜","author"
"梧轩","梧轩","author"
"楚图南","楚图南","author"
"欧罗","欧罗","author"
"正非","正非","author"
"毅生","毅生","author"
"民语","民语","author"
"永先","永先","author"
"求思","求思","author"
"汝德","汝德","author"
"江同","江同","author"
"汤心仪","汤心仪","author"
"汪大煊","汪大煊","author"
"沈兹九","沈兹九","author"
"沈来秋","沈来秋","author"
"沈涛","沈涛","author"
"沈若谷","沈若谷","author"
"沈钧儒","沈钧儒","author"
"沙溪","沙溪","author"
"洛扬","洛扬","author"
"洛明","洛明","author"
"洪谦","洪谦","author"
"济之","济之","author"
"浩川","浩川","author"
"海魂","海魂","author"
"涵先","涵先","author"
"深公","深公","author"
"清涟","清涟","author"
"渠之","渠之","author"
"游牧","游牧","author"
"湘渔","湘渔","author"
"潘光旦","潘光旦","author"
"潘安业","潘安业","author"
"潘梓年","潘梓年","author"
"潘焕昆","潘焕昆","author"
"潘立桐","潘立桐","author"
"潮声","潮声","author"
"炎火","炎火","author"
"焦敏之","焦敏之","author"
"爱思金","爱思金","author"
"独郑步","独郑步","author"
"王__","王__","author"
"王善淳","王善淳","author"
"王子敬","王子敬","author"
"王少燕","王少燕","author"
"王沿津","王沿津","author"
"王琦","王琦","author"
"王碎若","王碎若","author"
"王绍鏊","王绍鏊","author"
"王若飞","王若飞","author"
"王赣愚","王赣愚","author"
"王铁华","王铁华","author"
"王铁猴","王铁猴","author"
"王雨桐","王雨桐","author"
"珂田","珂田","author"
"甘敏","甘敏","author"
"白英","白英","author"
"百辞","百辞","author"
"直心","直心","author"
"瞿荆洲","瞿荆洲","author"
"知廉","知廉","author"
"石城","石城","author"
"石如","石如","author"
"石梅","石梅","author"
"石渊","石渊","author"
"祝公健","祝公健","author"
"秉志","秉志","author"
"秋原","秋原","author"
"秋斯","秋斯","author"
"程力方","程力方","author"
"程及","程及","author"
"程启钧","程启钧","author"
"穆欣","穆欣","author"
"穆涛","穆涛","author"
"立垒","立垒","author"
"章乃器","章乃器","author"
"章伯钧","章伯钧","author"
"章榴","章榴","author"
"章锡琛","章锡琛","author"
"童润之","童润之","author"
"端木泉","端木泉","author"
"竹云龙","竹云龙","author"
"笪移今","笪移今","author"
"简樸","简樸","author"
"索非","索非","author"
"纪鲁","纪鲁","author"
"绀弩","绀弩","author"
"罗任一","罗任一","author"
"罗加正","罗加正","author"
"罗努生","罗努生","author"
"罗尔鲍","罗尔鲍","author"
"罗斯福","罗斯福","author"
"罗稷南","罗稷南","author"
"罗贝慈","罗贝慈","author"
"翁文灏","翁文灏","author"
"翁逸之","翁逸之","author"
"翦伯赞","翦伯赞","author"
"耀羣","耀羣","author"
"老圣","老圣","author"
"老舍","老舍","author"
"耿介怀","耿介怀","author"
"耿济之","耿济之","author"
"肇世","肇世","author"
"肯明斯","肯明斯","author"
"胡大庆","胡大庆","author"
"胡思濂","胡思濂","author"
"胡经纬","胡经纬","author"
"胡绳","胡绳","author"
"舒湮","舒湮","author"
"舜生","舜生","author"
"艾艾","艾艾","author"
"艾芜","艾芜","author"
"艾莤","艾莤","author"
"花西里","花西里","author"
"苏东","苏东","author"
"若愚","若愚","author"
"苦人","苦人","author"
"范樸斋","范樸斋","author"
"范蕙","范蕙","author"
"荃麟","荃麟","author"
"草草","草草","author"
"莊稼","莊稼","author"
"莫同尧","莫同尧","author"
"莫启欧","莫启欧","author"
"莫白水","莫白水","author"
"莫闻","莫闻","author"
"萧明","萧明","author"
"葛一虹","葛一虹","author"
"董浩","董浩","author"
"董渭川","董渭川","author"
"葭水","葭水","author"
"蒋畴余","蒋畴余","author"
"蒲作","蒲作","author"
"蒲岗","蒲岗","author"
"蓝光","蓝光","author"
"蔡楚生","蔡楚生","author"
"薛光前","薛光前","author"
"薛汕","薛汕","author"
"虞人平","虞人平","author"
"虞德林","虞德林","author"
"衍棣","衍棣","author"
"袁西华","袁西华","author"
"观察者","观察者","author"
"言复","言复","author"
"警予","警予","author"
"许傑","许傑","author"
"许寿裳","许寿裳","author"
"许杰","许杰","author"
"许癀平","许癀平","author"
"许若明","许若明","author"
"诸慧","诸慧","author"
"调孚","调孚","author"
"谢尚光","谢尚光","author"
"谷荣","谷荣","author"
"贝塞尔","贝塞尔","author"
"费哲","费哲","author"
"贺依","贺依","author"
"贺湄","贺湄","author"
"辛海","辛海","author"
"辛笛","辛笛","author"
"迈之","迈之","author"
"退知","退知","author"
"邓初氏","邓初氏","author"
"邵冲霄","邵冲霄","author"
"邵力子","邵力子","author"
"邵嘉陵","邵嘉陵","author"
"邵翰齐","邵翰齐","author"
"郑光昭","郑光昭","author"
"郑独步","郑独步","author"
"郭沬若","郭沬若","author"
"郭绍虞","郭绍虞","author"
"金向凡","金向凡","author"
"金枫","金枫","author"
"钟宣","钟宣","author"
"钟百频","钟百频","author"
"钱端升","钱端升","author"
"铁僧","铁僧","author"
"镜民","镜民","author"
"闻一多","闻一多","author"
"闻家駰","闻家駰","author"
"闻家驷","闻家驷","author"
"闾方","闾方","author"
"阿凌","阿凌","author"
"阿希敦","阿希敦","author"
"陆平","陆平","author"
"陆诒","陆诒","author"
"陆钦墀","陆钦墀","author"
"陆青","陆青","author"
"陈亦丹","陈亦丹","author"
"陈元良","陈元良","author"
"陈兆珂","陈兆珂","author"
"陈家康","陈家康","author"
"陈封雄","陈封雄","author"
"陈尚藩","陈尚藩","author"
"陈志中","陈志中","author"
"陈志忠","陈志忠","author"
"陈时臬","陈时臬","author"
"陈明文","陈明文","author"
"陈烟桥刻","陈烟桥刻","author"
"陈翰伯","陈翰伯","author"
"陈范","陈范","author"
"陈菊珍","陈菊珍","author"
"陈轲","陈轲","author"
"隐民","隐民","author"
"雨生","雨生","author"
"雷诺斯","雷诺斯","author"
"雷铭","雷铭","author"
"青蛉","青蛉","author"
"静远","静远","author"
"韦康","韦康","author"
"项黎","项黎","author"
"顿风","顿风","author"
"颂俞华","颂俞华","author"
"马义","马义","author"
"马代","马代","author"
"马叙伦","马叙伦","author"
"马哲民","马哲民","author"
"马戈","马戈","author"
"马歇尔","马歇尔","author"
"马歇尔特","马歇尔特","author"
"马远","马远","author"
"骆闻","骆闻","author"
"高光","高光","author"
"高克夫","高克夫","author"
"高克奇","高克奇","author"
"魏友棐","魏友棐","author"
"魏矢","魏矢","author"
"魏金枝","魏金枝","author"
"鱼目","鱼目","author"
"鲁小詹","鲁小詹","author"
"鲁山","鲁山","author"
"鲁迅","鲁迅","author"
"鲁逵","鲁逵","author"
"鲍乐蒂","鲍乐蒂","author"
"鲍尔温","鲍尔温","author"
"鲍鸿生","鲍鸿生","author"
"黄吉兴","黄吉兴","author"
"黄宗英","黄宗英","author"
"黄杉","黄杉","author"
"黄河清","黄河清","author"
"黄海","黄海","author"
"黄药眠","黄药眠","author"
"黄道庸","黄道庸","author"
"黎华","黎华","author"
"黎明","黎明","author"
"齐人","齐人","author"
"龙天峯","龙天峯","author"
"（印）约希","（印）约希","author"
"（美）安德鲁鲍思","（美）安德鲁鲍思","author"
"（美）福尔曼","（美）福尔曼","author"
"（美）蓝纳","（美）蓝纳","author"
"（苏）Dmitrevsky，N.","（苏）Dmitrevsky，N.","author"
"（英）马可里","（英）马可里","author"
"苏生","苏生","author"
"华叔甫","华叔甫","author"
"念青","念青","author"
"关夫","关夫","author"
"方艾","方艾","author"
"王艮仲","王艮仲","author"
"金大均","金大均","author"
"吴泽","吴泽","author"
"一波","一波","author"
"何肫林","何肫林","author"
"唐思礼","唐思礼","author"
"潘静","潘静","author"
"陈士华","陈士华","author"
"陈瘦竹","陈瘦竹","author"
"Donald_Morrow","Donald_Morrow","author"
"信民","信民","author"
"卢淑","卢淑","author"
"史国衡","史国衡","author"
"国超","国超","author"
"木耳","木耳","author"
"永生","永生","author"
"王时颖","王时颖","author"
"西谛","西谛","author"
"邹云涛","邹云涛","author"
"钱晓义","钱晓义","author"
"顾佩之","顾佩之","author"
"一知","一知","author"
"不移","不移","author"
"丕强","丕强","author"
"东衣","东衣","author"
"何之","何之","author"
"卞之琳","卞之琳","author"
"向凡","向凡","author"
"周公南","周公南","author"
"周琦","周琦","author"
"周而复","周而复","author"
"客尔纳","客尔纳","author"
"张霞飞","张霞飞","author"
"徐盈","徐盈","author"
"朱树锦","朱树锦","author"
"李广田","李广田","author"
"梁秋水","梁秋水","author"
"沈定一","沈定一","author"
"王之枚","王之枚","author"
"祝唯一","祝唯一","author"
"胡先驌","胡先驌","author"
"胡愈之","胡愈之","author"
"胡风","胡风","author"
"范登堡","范登堡","author"
"萧公权","萧公权","author"
"蔡尚思","蔡尚思","author"
"赤峰","赤峰","author"
"赵志华","赵志华","author"
"赵渢","赵渢","author"
"陈梅卿","陈梅卿","author"
"黄春生","黄春生","author"
"丁静","丁静","author"
"万武","万武","author"
"丘哲","丘哲","author"
"乔峯","乔峯","author"
"云涛","云涛","author"
"任远","任远","author"
"任鸿隽","任鸿隽","author"
"伍啓元","伍啓元","author"
"何陋之","何陋之","author"
"余园","余园","author"
"侯北人","侯北人","author"
"傅菊人","傅菊人","author"
"冯友兰","冯友兰","author"
"刘西渭","刘西渭","author"
"千家驹","千家驹","author"
"史言","史言","author"
"吴恩裕","吴恩裕","author"
"吴靓云","吴靓云","author"
"周哲","周哲","author"
"唐旻","唐旻","author"
"孟木","孟木","author"
"宋宝山","宋宝山","author"
"寒松","寒松","author"
"小芒","小芒","author"
"希苓","希苓","author"
"张中府","张中府","author"
"张大雷","张大雷","author"
"张永久","张永久","author"
"张锡昌","张锡昌","author"
"彭泽民","彭泽民","author"
"徐仁道","徐仁道","author"
"戴镏龄","戴镏龄","author"
"拉斯基","拉斯基","author"
"文雏","文雏","author"
"方纾","方纾","author"
"晨曦","晨曦","author"
"更生","更生","author"
"朱俊岐","朱俊岐","author"
"李列","李列","author"
"李敏","李敏","author"
"李浩培","李浩培","author"
"李章达","李章达","author"
"杜律斯","杜律斯","author"
"杨西孟","杨西孟","author"
"林砺儒","林砺儒","author"
"林萼","林萼","author"
"毅夫","毅夫","author"
"毛以亨","毛以亨","author"
"求思诀","求思诀","author"
"江峰","江峰","author"
"汪明海","汪明海","author"
"沈燕谋","沈燕谋","author"
"洛思","洛思","author"
"洪涛","洪涛","author"
"浮天","浮天","author"
"湘文","湘文","author"
"狄超白","狄超白","author"
"王原","王原","author"
"王向凡","王向凡","author"
"田水","田水","author"
"田汉","田汉","author"
"田汝康","田汝康","author"
"白旭","白旭","author"
"瞿康祖","瞿康祖","author"
"程梯云","程梯云","author"
"章英","章英","author"
"符唐祖","符唐祖","author"
"纪玄冰","纪玄冰","author"
"耶戈","耶戈","author"
"艾森","艾森","author"
"萧冰","萧冰","author"
"萧思明","萧思明","author"
"蒋天佐","蒋天佐","author"
"袁尘影","袁尘影","author"
"许虚","许虚","author"
"诺斯","诺斯","author"
"赛珍珠","赛珍珠","author"
"赵心梅","赵心梅","author"
"邱去耳","邱去耳","author"
"邵云涛","邵云涛","author"
"金华","金华","author"
"钱能欣","钱能欣","author"
"陆怀","陆怀","author"
"陈原","陈原","author"
"陈友松","陈友松","author"
"陈烟桥","陈烟桥","author"
"陈衡哲","陈衡哲","author"
"非昔","非昔","author"
"高名凯","高名凯","author"
"高祖文","高祖文","author"
"高觉敷","高觉敷","author"
"魏明","魏明","author"
"鲁风","鲁风","author"
"黄雨秋","黄雨秋","author"
"黎洪","黎洪","author"
"黎纬北","黎纬北","author"
"A.K.","A.K.","author"
"C.L.","C.L.","author"
"Grary，W.","Grary，W.","author"
"L·柏罗特","L·柏罗特","author"
"MK","MK","author"
"Stein，G.","Stein，G.","author"
"Woodward，E.L.","Woodward，E.L.","author"
"__波","__波","author"
"一之","一之","author"
"一孔","一孔","author"
"一行","一行","author"
"丁丙","丁丙","author"
"丁丙莉","丁丙莉","author"
"丁志进","丁志进","author"
"万力","万力","author"
"万守义","万守义","author"
"万来","万来","author"
"丘一中","丘一中","author"
"东山头人","东山头人","author"
"东郭迪吉","东郭迪吉","author"
"东风","东风","author"
"严艺英","严艺英","author"
"乃__","乃__","author"
"乃鹤","乃鹤","author"
"之的","之的","author"
"乐水","乐水","author"
"乡下人","乡下人","author"
"于仲","于仲","author"
"于明","于明","author"
"于潮","于潮","author"
"于陵","于陵","author"
"于鹤年","于鹤年","author"
"云野","云野","author"
"仁柳","仁柳","author"
"令狐畏","令狐畏","author"
"以中","以中","author"
"以平","以平","author"
"仰山","仰山","author"
"任叔谨","任叔谨","author"
"任民","任民","author"
"任钧","任钧","author"
"伊人","伊人","author"
"伊仲羊","伊仲羊","author"
"伊利奥特·罗斯福","伊利奥特·罗斯福","author"
"伊民","伊民","author"
"伍丁","伍丁","author"
"伍宪子","伍宪子","author"
"伯奇","伯奇","author"
"伯涛","伯涛","author"
"何为","何为","author"
"何兆坤","何兆坤","author"
"何天","何天","author"
"何家槐","何家槐","author"
"何容","何容","author"
"何康平","何康平","author"
"何恕","何恕","author"
"何林","何林","author"
"何永佶","何永佶","author"
"何清","何清","author"
"何满","何满","author"
"何锦明","何锦明","author"
"余信华","余信华","author"
"余审之","余审之","author"
"佛利阿特","佛利阿特","author"
"作周","作周","author"
"俞平清","俞平清","author"
"俞湘文","俞湘文","author"
"俞白克","俞白克","author"
"倪平","倪平","author"
"傅亮","傅亮","author"
"储安平","储安平","author"
"元民","元民","author"
"兆均","兆均","author"
"光旦","光旦","author"
"克汀","克汀","author"
"全慰天","全慰天","author"
"公南","公南","author"
"公隼","公隼","author"
"其善","其善","author"
"其玉","其玉","author"
"冠英","冠英","author"
"冬池","冬池","author"
"冯小山","冯小山","author"
"冯至","冯至","author"
"冷欣","冷欣","author"
"冷铁","冷铁","author"
"凌元","凌元","author"
"凌风","凌风","author"
"凌飞","凌飞","author"
"刃锋","刃锋","author"
"刍雷","刍雷","author"
"刘中育","刘中育","author"
"刘健","刘健","author"
"刘友瑾","刘友瑾","author"
"刘唯公","刘唯公","author"
"刘威","刘威","author"
"刘恢之","刘恢之","author"
"刘文茵","刘文茵","author"
"刘白羽","刘白羽","author"
"刘英","刘英","author"
"刘谟","刘谟","author"
"前进危险”","前进危险”","author"
"剪伯赞","剪伯赞","author"
"力戈","力戈","author"
"力耘","力耘","author"
"力衡","力衡","author"
"劳伦斯","劳伦斯","author"
"劳德拔哈","劳德拔哈","author"
"劳荣","劳荣","author"
"劳辛","劳辛","author"
"勒巩","勒巩","author"
"勾适生","勾适生","author"
"匀田","匀田","author"
"午子","午子","author"
"华伞","华伞","author"
"华又严","华又严","author"
"华庆","华庆","author"
"华生","华生","author"
"单行","单行","author"
"南人","南人","author"
"南风","南风","author"
"卧龙山人","卧龙山人","author"
"厄尔·白劳德","厄尔·白劳德","author"
"叙功","叙功","author"
"古月","古月","author"
"古泉","古泉","author"
"古谛","古谛","author"
"史东山","史东山","author"
"史刚","史刚","author"
"史枚","史枚","author"
"史永","史永","author"
"史逸","史逸","author"
"史鉴","史鉴","author"
"史靖","史靖","author"
"叶正明","叶正明","author"
"叶浅予","叶浅予","author"
"叶笃义","叶笃义","author"
"司徒尚德","司徒尚德","author"
"司马文森","司马文森","author"
"向师程","向师程","author"
"向春","向春","author"
"向豁","向豁","author"
"向达","向达","author"
"吕牛","吕牛","author"
"吕阳","吕阳","author"
"君羊","君羊","author"
"吴奔星","吴奔星","author"
"吴禹昌","吴禹昌","author"
"吴耀宗","吴耀宗","author"
"呆霞","呆霞","author"
"周东郊","周东郊","author"
"周绶章","周绶章","author"
"周荣","周荣","author"
"味橄","味橄","author"
"哈哈","哈哈","author"
"哈里逊·福门","哈里逊·福门","author"
"哲圣","哲圣","author"
"唐现之","唐现之","author"
"唐祥__","唐祥__","author"
"国新","国新","author"
"圣徒","圣徒","author"
"在灼","在灼","author"
"坚夫","坚夫","author"
"培仁","培仁","author"
"墨君","墨君","author"
"士刚","士刚","author"
"复生","复生","author"
"夏康农","夏康农","author"
"夏敏","夏敏","author"
"夏晨","夏晨","author"
"夏若愚","夏若愚","author"
"多鲁","多鲁","author"
"大希","大希","author"
"大白","大白","author"
"大羊","大羊","author"
"奔原","奔原","author"
"姚又馀","姚又馀","author"
"姚澄波","姚澄波","author"
"威尔斯","威尔斯","author"
"威德","威德","author"
"子午","子午","author"
"子起","子起","author"
"孔庆赓","孔庆赓","author"
"孙克宽","孙克宽","author"
"孙凯根","孙凯根","author"
"孙宝刚","孙宝刚","author"
"孙懋德","孙懋德","author"
"孙源","孙源","author"
"孙肯来","孙肯来","author"
"孟宪章","孟宪章","author"
"孟晖","孟晖","author"
"孟永之","孟永之","author"
"孟浪","孟浪","author"
"季凤","季凤","author"
"季季","季季","author"
"学范","学范","author"
"安奇","安奇","author"
"安娜·莎克赛","安娜·莎克赛","author"
"安娥","安娥","author"
"安得烈·罗斯","安得烈·罗斯","author"
"宋云彬","宋云彬","author"
"宗亿","宗亿","author"
"宗白华","宗白华","author"
"宗石","宗石","author"
"实革","实革","author"
"宣铁吾","宣铁吾","author"
"小兵","小兵","author"
"小民","小民","author"
"尔东","尔东","author"
"尖兵","尖兵","author"
"尙羣","尙羣","author"
"尤鲁","尤鲁","author"
"岳光","岳光","author"
"崔嵬","崔嵬","author"
"崔超明","崔超明","author"
"左垲","左垲","author"
"左昂","左昂","author"
"希孟","希孟","author"
"希昭","希昭","author"
"平新","平新","author"
"应卫民","应卫民","author"
"康纳","康纳","author"
"廖世承","廖世承","author"
"廖冰兄","廖冰兄","author"
